189,人工智能 8.6 
190,恐怖游轮 8.4 
191,魔女宅急便 8.6 
192,惊魂记 8.9 
193,海洋 9.1 
194,罗生门 8.8 
195,燃情岁月 8.8 
196,哈利·波特与阿兹卡班的囚徒 8.6 
197,新世界 8.8 
198,穿越时空的少女 8.6 
199,疯狂的石头 8.4 
200,魂断蓝桥 8.8 
201,奇迹男孩 8.6 
202,终结者2：审判日 8.7 
203,哈利·波特与密室 8.5 
204,可可西里 8.8 
205,爱在午夜降临前 8.8 
206,初恋这件小事 8.4 
207,完美陌生人 8.5 
208,阿飞正传 8.5 
209,牯岭街少年杀人事件 8.8 
210,2001太空漫游 8.8 
211,猜火车 8.5 
212,香水 8.5 
213,谍影重重2 8.6 
214,谍影重重 8.6 
215,无耻混蛋 8.6 
216,战争之王 8.6 
217,青蛇 8.5 
218,新龙门客栈 8.6 
219,地球上的星星 8.9 
220,绿里奇迹 8.8 
221,源代码 8.4 
222,浪潮 8.7 
223,小偷家族 8.7 
224,朗读者 8.5 
225,城市之光 9.3 
226,步履不停 8.8 
227,血钻 8.6 
228,彗星来的那一夜 8.5 
229,疯狂的麦克斯4：狂暴之路 8.6 
230,小萝莉的猴神大叔 8.4 
231,再次出发之纽约遇见你 8.5 
232,追随 8.9 
233,色，戒 8.4 
234,一次别离 8.7 
235,东京物语 9.2 
236,大佛普拉斯 8.7 
237,遗愿清单 8.6 
238,聚焦 8.8 
239,驴得水 8.3 
240,发条橙 8.5 
241,黑鹰坠落 8.7 
242,撞车 8.6 
243,我爱你 9.0 
244,千钧一发 8.8 
245,梦之安魂曲 8.7 
246,E.T. 外星人 8.6 
247,四个春天 8.9 
248,变脸 8.5 
249,网络谜踪 8.6 
